多少	密→少密→中密→少密	字数 多→少	密→疏，歪→齐，小→大	小→大 密→疏 同→异→同	小→大 密→疏
大小	小→大，点的密集变化	小→大 多→少	从小到大，由密到疏	小→大 看最小的字呦	列数+字体大小+字数(优先)
大小	图片中最大的最靠后	从小到大	多调几次	小→大 密→疏	字 多→少 大→小
大小	右先小再左，数量变化	字体的大小，疏密	凭感觉来	由大到小 由疏到密	小→大，乱→正
字列宽窄↗	总→分→总	由小到大(可通过比较)	小→大 密→疏	小→大 规则→不规则 字多→少	从小到大，从有序到无序
字数↓	随心排	最小的字确定相近两页顺序	密→疏，小→大	小→大	按字的大小，由小到大
一样大的字数↓	多少	密→疏 小→大	字越小越清晰	小→大 规则→不规则	点小→点大 密→疏
①大小②形状	小到大，密到疏	从小到大，疏密 整齐度	从小到大	密→疏	大→小
大小	小→大	按圆的个数	小→大→小	随心	小&密→大&疏
①方块数②大小	疏→密	小→大	小→大 多→少	字数 少→多，整理→乱	小，整齐→大，杂乱
稀疏和最左侧方块数	看小圆	大小/最小的个数	小→大 字多→字少	小→大	方块注意大小，同时注意每列走向
小→大	规律→不规律	按大小	小→大 多→少	小&密→大&疏	相信直觉
大小和形状	小→大	从小到大排	通过波形来记忆	疏→密	
字的占比	密→疏，多→少	大小，平均大小			
	小→大，大的在中间	小→大			
