image_number	pixel_diff	centroid_diff	gradient_diff	thickness_diff	total_diff
1	0.54663832	0.046470777	0.333667016	0.220369446	0.28678639
2	0	1	1	0.775237144	0.693809286
3	0.46567455	0.159449894	0.327801144	0.04882676	0.250438087
4	0.44698379	0.214910886	0.29728279	0.09345981	0.263159319
5	0.228009567	0.351693788	0.398817464	0.277184224	0.313926261
6	0.250952254	0.409406916	0.429125328	0.294458313	0.345985703
7	0.620072637	0.263342712	0.292226738	0.428357464	0.400999888
8	0.573832935	0.455335464	0.336540498	0.183524713	0.387308402
9	0.58588006	0.168447543	0.297041092	0.279380929	0.332687406
10	1	0.31496093	0.327089029	1	0.66051249
11	0.262379307	0.40719937	0.365138474	0.192910634	0.306906946
12	0.637966162	0.089909123	0.382048853	0.513429855	0.405838498
13	0.446540881	0.297753488	0.359314158	0.118122816	0.305432836
14	0.509433962	0.235896096	0.374864465	0.16904643	0.322310239
15	0.318363008	0.280002581	0.311476276	0.193310035	0.275787975
16	0.545841084	0.036775474	0.176988523	0.240239641	0.24996118
17	0.57852777	0.206992336	0.123967178	0.205991013	0.278869574
18	0.270705997	0.00457983	0.257944294	0.213879181	0.186777326
19	0.376118345	0.209827602	0.344797894	0.016774838	0.23687967
20	0.34298875	0.123085357	0.454433054	0.122216675	0.260680959
21	0.568960935	0.118709582	0.343870828	0.172441338	0.300995671
22	0.407919213	0.133887228	0.360517363	0.025461807	0.231946403
23	0.44113739	0.045783797	0.215520028	0.143185222	0.211406609
24	0.390025689	0.097611588	0.301140911	0.023864204	0.203160598
25	0.307024537	0.219685902	0.349320691	0.183524713	0.264888961
26	0.210204624	0.22557799	0.416536072	0.347578632	0.29997433
27	0.654265214	0.187494602	0.218378928	0.426959561	0.371774576
28	0.674993356	0.215066418	0.380712118	0.496455317	0.441806802
29	0.371600673	0.318912228	0.318651031	0.068197703	0.269340409
30	0.499955709	0.34304983	0.30683306	0.063504743	0.303335835
31	0.569935335	0.209490621	0.203903633	0.321917124	0.326311678
32	0.45141288	0.234817505	0.20727535	0.058112831	0.237904641
33	0.530516432	0.340737511	0.342426343	0.26669995	0.370095059
34	0.690583754	0.256835723	0.307925074	0.367648527	0.405748269
35	0.443883426	0.153254954	0.360716539	0.071592611	0.257361882
36	0.629816636	0.054402972	0.158669379	0.33789316	0.295195537
37	0.568252281	0.295639378	0.250804061	0.331602596	0.361574579
38	0.29045974	0.205490131	0.272552742	0.013879181	0.195595448
39	0.119585437	0.159642531	0.306163768	0.20908637	0.198619527
40	0.396137833	0.230486993	0.360488644	0.01777334	0.251221703
41	0.482948002	0.304587253	0.183137867	0.277583625	0.312064187
42	0.586943042	0.144862848	0.272231964	0.445132302	0.362292539
43	0.546372575	0.297080746	0.347404379	0.312930604	0.375947076
44	0.341748605	0.269853533	0.419944473	0.156565152	0.297027941
