看起来很让人心情愉快	很美观	规整，大气
上面有开心的祝福，开心最重要	有意境	秀丽
很快乐，且饱满，笔画匀称	圆润，匀称	字书写地很有韵味
图案绘制看起来很精致	形态可爱	字很秀气也很规整
笑脸很好	简单好	寓意好
很明显，很有趣，看到这一面墙的第一反应	可爱	书法水平高
笔画好看，饱满规整	比较特别，看起来有趣	顺眼
呆，很像一个人	看不懂，但大为震撼	词语感觉很正能量，字也写得好看
圆润	：）	四字词语比较有意思，字也很好看
富有哲理的临摹	如同披着蓑衣的武侠小人	组词比较合理，书写有力
有设计感	规整好看	字迹工整，寓意深刻
整体结构比较好看，笔画工整	好看	字很工整，词的含义很有理
工整美观	整洁美观	字迹端正
字迹工整	比较好看	很可爱，写的很认真
流畅	少数的用了面	诛乱正善，好成语
有意思	像人	符合当代大学生状态
可爱的笑脸，看了心情好	呆呆的小人感觉有点孤独	威严的法官要安利什么呢
顺眼	顺眼	字很好看，含义清晰
很可爱 很工整	像燃烧的火焰 很有意思	组合的四字有含义，非常巧妙
方正	整齐	有意义
简洁	整洁	字好看，笔触有力
显眼	飘逸	词好
很规整	笔触很吸引人	字体十分有特色
显眼	工整	写得好
笑脸看了心情好	笑脸可爱	字好看，寓意好听
像很可爱的笑脸	像是在跳舞	好看
简单	有个性	字可以
很生动	有趣	第一眼看了没看懂
可爱	方正有趣	好看
流畅	形象生动	好看
心血来潮	心血来潮	字迹规整好看
很可爱	画的像个气球，可爱	显眼
生动	和第一个一样	意义比较好
标致	方正	有吸引力
简约大方	有意思	字体好
像个呆的人	和我写的好像，以为是我的	相对好看
写的跟我写的很像	很奇怪	寓意好
对字的解释比较有意思	字跟我写的一样	字写的很漂亮
较为工整	圆润可爱	全是缺点，贬义词，相比于赞美鼓励，更要敢于接受这些可能存在的缺点
笔锋斗转，骨感有序，整个字看上去很精神	圆润通透，干净利索	寓意好，字工整漂亮，棱角分明，有一种昂扬向上的感觉
挺好看的	很有意思	书写人写得比较自由放松
字很活泼	画了笑脸，很调皮	字很工整
字很好看	笑脸很可爱	字很好看
比较规整	很工整	寓意好
写的很秀气，这个字我也写过	很遒劲，有书法的感觉	工整好看
独特	生动	寓意很棒
有趣		正常
样子挺可爱	自己也画过，喜欢	字好看，寓意不错
字很好看	写的很规整	工整
简洁	不懂	寓意美好
简单	有趣	四个好的品质
符号有趣	符号简洁	秀气
简单	好看	端正
简单	随机	看不懂
图案有趣	图案有趣	寓意看着就正气十足
不仅有临摹的图案，还有自己的理解	简洁	字很秀气
图案有趣	有趣掌印	大气
很有意思的图案	可爱笑脸	看着是积极意义的词
有趣	很可爱	挺好
板板正正	抽象	字体有特点
好看	有趣	有写的字对应的风格
让人开心	非常的规矩	字体是横着写的，比较有特点
酷似甲骨文	规整	豪放有笔锋
笑脸很可爱	很有古文的味道	充满正义感，争做正义人
可爱	正方	写的好看
简约	很有趣很可爱	写的好看
像笑脸，让人开心	凌乱美	刚劲有力
简单	有趣像笑脸	字体好看
像笑脸开心	有趣像笑脸	字整齐好看
第一眼看到了	画的好	好看
看到了很开心	很有意思的	字迹清晰
解释很独特	尖嘴笑脸	比较喜欢他的寓意
笑脸开心	简约	字很好看
画的很有味道	有字	词语的寓意很好
很有趣	像一个笑脸 看见心情会变好	词语好
美观简洁	清秀	好看
还行	有特色	繁体字看起来好像很厉害的样子
火柴人	规整	词的内容还可以
很规整	能看出是一个笑脸	写的字很好看，很有力道
笑的很开心	笑的很嚣张	爱国友善
看起来很开心		很大气
好看，方正	好看	成语的意义很好
好看	好看	很好看喜欢词语的意思
好看	简约	字很好看
舒适	工整	字写得很豪放有力
突出	弱弱的	很好的寓意
很方正	线条好看	大家都要遵纪守法
很奇特	像个笑脸	工整
很喜欢	很复杂很喜欢	寓意好
呆呆的	像emoji	好寓意
很可爱	很方正	工整寓意好
不错	不错	只有它写的比较好看
工整	可爱	好看
是笑脸	工整	寓意深远
整齐	十分方正	既然没人选，那我来做那个人
好看	舒畅	
工整	很抽象	褒义词
帅	蒂	寓意好
够抽象	很简约	写的繁体，而且意思有点妙。
像个小人	灵动小人	随机
随机	随机	词组有趣味，“伪”和“涵”如果作为动词的话词语构成也较为合理
干净	抽象小人	有艺术气息
简洁	画的很生动可爱	字形很舒展
不对称但平衡	勾边留白的形式比较特别	字很端正
可爱，大方，整洁	可爱，整洁的小笑脸	成语寓意好
干净整洁	干净整洁	符合社会主义核心价值观
大气	整洁	词语很正气
像一个人	比较简洁	好看
大气整洁	有趣	善良的人们在恶劣的法治下生存的黑暗现象（）
很简练	很有童真	最好看的了
笔画简洁干练	像一副图画	方正，有约束
好看	鸡蛋	端正
整体效果整洁清爽	简洁，位置很好，简单但很用心	字体整体效果蛮不错的
写的很好	简洁	很有个性
杂乱	好看	字体文端高雅，成语字面意思温文尔雅
有一种简约的美	很酷	前后文字字意差别巨大
简约	简约，清爽	字迹豪放
写得好	有文字解释，布局美观	好看
呆呆的	像是两个小孩打架	笔画连贯
不错	字好看	苍劲有力
规整	方正	选的第一个字一样
规整	奇特	字体不错
字很多，有想法	毛毛的	感觉模仿的很像
很工整	很圆润	感觉最有书法的感觉
很粗犷	写了注解	四个形容词
线条比较清晰	加上注解有一种故事感	正气凛然
活泼饱满	古朴典雅	比较秀气
线条细且清晰	笔画较散	成语意义好
线条利落	整体和谐	端正
工整	工整大气	工整
比较工整	特别	有一种为天下的博大胸怀
比较清晰	好	看起来还行
写的板正	像个笑脸，治愈	大气
线条清晰，画的很可爱	比较合眼缘	看着还行
清晰整齐	这个日写的像一幅画一样	表达了一种毁灭性观点
不用再照照片了	规整	写的很好看，寓意也不错
线条简单	线条简单	词义大义凛然，而且书法写的好好看
线条简单	线条简单	看着不错
线条简单	整洁	词义简单易懂
比较圆润	规整	
方正	线条简单	
