image_number,image_name,pixel_diff,gradient_diff,shape_context_diff,total_diff
1,2__no_borders.png,0.32361279870392873,0.2547465036911069,0.0,0.13770319609747672
2,3__no_borders.png,0.13082219522073715,0.24874329775445067,0.04128612684114511,0.12732654691774087
3,4__no_borders.png,0.6703118671526934,0.5190597856941498,0.06759649990841719,0.316015955020065
4,5__no_borders.png,0.5646010530579182,0.23749579067132826,0.06176456729085519,0.19869596833908018
5,6__no_borders.png,0.3159173754556501,0.352127631752628,0.06588142653571022,0.20357299069962242
6,7__no_borders.png,0.5066828675577156,0.31517004282366384,0.032271961929917325,0.20244792608689835
7,8__no_borders.png,0.650465775617659,0.399446146444484,0.31558337372730916,0.3951677044618728
8,9__no_borders.png,0.40056703118671527,0.4561716995902462,0.10330626556068094,0.2713982823149339
9,10__no_borders.png,0.0,0.27767362351194574,0.0047047751901000065,0.099538155824231
10,11__no_borders.png,0.2345078979343864,0.22378200201091106,0.002024111482851535,0.11451194113540258
11,12__no_borders.png,0.6294046172539489,0.0,0.0003200193455169079,0.09457070226085078
12,13__no_borders.png,0.34993924665856624,0.026775463367434534,0.06496492340087147,0.09434476087782276
13,14__no_borders.png,0.4949372215471851,0.0867352209765383,0.008404674833685826,0.10880024799070907
14,15__no_borders.png,0.7067638720129608,0.28435883088066705,0.24755856294247303,0.3293194530814141
15,16__no_borders.png,0.5844471445929527,0.2839301443805703,0.06395449522451062,0.21901986983439783
16,17__no_borders.png,0.6747671121911705,0.2465017782683583,0.294345725512756,0.334663551978979
17,18__no_borders.png,0.07695423248278656,0.24922136565736974,0.27891527824624635,0.23822825197562056
18,19__no_borders.png,0.1919805589307412,0.3725802444593083,0.11042034127687016,0.2144103400388042
19,20__no_borders.png,0.37950587282300524,0.5447467663383726,0.36087256648220034,0.42802353238298135
20,21__no_borders.png,0.12515188335358446,0.5263213569519243,1.0,0.7029852574362112
21,22__no_borders.png,0.5532604293236127,0.575629213965164,0.7913660107029817,0.6801422946378402
22,23__no_borders.png,0.36978533819360065,0.3956195575887854,0.49756460963641813,0.44271695070332406
23,24__no_borders.png,0.277845281490482,0.318523212371585,0.13833679270373297,0.22232831290549354
24,25__no_borders.png,0.5682462535439449,0.3379596642429321,0.369944087558926,0.38849486429608093
25,26__no_borders.png,0.6553260429323613,0.23532070287726403,0.5993211242110975,0.4803217145524453
26,27__no_borders.png,0.6221142162818954,0.2583453422251187,0.28076170354081875,0.3241188539914852
27,28__no_borders.png,0.5002025111381126,0.45499282589473544,0.3796762150321153,0.4241159732499319
28,29__no_borders.png,0.4106925880923451,0.570865141437672,0.06209526899346269,0.2924543222137683
29,30__no_borders.png,0.795868772782503,0.44923067974301445,0.34332861466199743,0.44827536115842914
30,31__no_borders.png,0.7132442284325637,0.5796105235246042,0.2110030734121345,0.4153518542045633
31,32__no_borders.png,0.7339003645200486,0.778934452526014,0.3433853812036742,0.5544048036639493
32,33__no_borders.png,0.8367760226812475,0.5237908582067939,0.0960316983067484,0.3568590529279392
33,34__no_borders.png,0.9846091535034427,0.5730090118196196,0.75827199524163,0.7273805247831984
34,35__no_borders.png,1.0,0.9775978712928451,0.466818484363591,0.7255684971342913
35,36__no_borders.png,0.9307411907654921,0.9026903775383814,0.1822861649511758,0.5466958932288452
36,37__no_borders.png,0.8918590522478737,0.9649680201357315,0.3315054615349995,0.6372703956521868
37,38__no_borders.png,0.9485621709194005,0.9895444435697142,0.13051281803963272,0.5538812899071264
38,39__no_borders.png,0.9266909680032401,1.0,0.4121619989578053,0.6950846446793887
